"lang"	"left_context"	"center"	"right_context"	"title"
"137"	"ukr"	" Дiзнавшись що цього не трапилось а також визначивши повну комплектнiсть байдарки приятель з полегшенням запалює i цiкавиться навiщо його кликали"	""	""	"[Феликс Квадригин (Г. Е. Аронов, М. Я. Гольштейн, Ю. Я. Фиалков, Ю. В. Шанин). На байдарке (1980) | Фелікс Квадрігін (Г. Ю. Аронов, М. Я. Гольдштейн, Ю. Я. Фiалков, Ю. В. Шанiн). На байдарці за снагою (1980)]"
"138"	"rus"	" Безлюдье таежных рек непуганые лоси которые удостаивают проплывающую байдарку лишь кивком царственной головы медведь терпеливо"	"дожидающийся"	" банки из-под сгущенки в кустах возле разбитого вами лагеря и комары заставляющие ретироваться с позором даже медведя"	"[Феликс Квадригин (Г. Е. Аронов, М. Я. Гольштейн, Ю. Я. Фиалков, Ю. В. Шанин). На байдарке (1980) | Фелікс Квадрігін (Г. Ю. Аронов, М. Я. Гольдштейн, Ю. Я. Фiалков, Ю. В. Шанiн). На байдарці за снагою (1980)]"
"139"	"ukr"	" Безлюддя тайгових рiчок неполоханi лосi якi при зустрiчi з байдаркою вшановують її лише кивком гордої голови ведмiдь який терпляче очiкує банку з-пiд згущеного молока в кущах бiля стоянки комарi якi змушують ганебно вiдступати навiть ведмедя"	""	""	"[Феликс Квадригин (Г. Е. Аронов, М. Я. Гольштейн, Ю. Я. Фиалков, Ю. В. Шанин). На байдарке (1980) | Фелікс Квадрігін (Г. Ю. Аронов, М. Я. Гольдштейн, Ю. Я. Фiалков, Ю. В. Шанiн). На байдарці за снагою (1980)]"
"140"	"rus"	" Тем более не"	"доверяйте"	" Страбону и Геродоту"	"[Феликс Квадригин (Г. Е. Аронов, М. Я. Гольштейн, Ю. Я. Фиалков, Ю. В. Шанин). На байдарке (1980) | Фелікс Квадрігін (Г. Ю. Аронов, М. Я. Гольдштейн, Ю. Я. Фiалков, Ю. В. Шанiн). На байдарці за снагою (1980)]"
"141"	"ukr"	" Тим бiльше не довiряйтесь Страбону i Геродоту"	""	""	"[Феликс Квадригин (Г. Е. Аронов, М. Я. Гольштейн, Ю. Я. Фиалков, Ю. В. Шанин). На байдарке (1980) | Фелікс Квадрігін (Г. Ю. Аронов, М. Я. Гольдштейн, Ю. Я. Фiалков, Ю. В. Шанiн). На байдарці за снагою (1980)]"
"142"	"rus"	" Спускать лодки удобно полуправда чтобы"	"добраться"	" до удобного места мало совершить двухкилометровый бросок надо пробалансировать по ветхой доске на другую сторону реки"	"[Феликс Квадригин (Г. Е. Аронов, М. Я. Гольштейн, Ю. Я. Фиалков, Ю. В. Шанин). На байдарке (1980) | Фелікс Квадрігін (Г. Ю. Аронов, М. Я. Гольдштейн, Ю. Я. Фiалков, Ю. В. Шанiн). На байдарці за снагою (1980)]"
"143"	"ukr"	" Спускати човни зручно напiвправда щоб дiстатися до зручного трав'яного майданчика треба пробалансувати по трухлявiй дошцi на другий берег рiчки"	""	""	"[Феликс Квадригин (Г. Е. Аронов, М. Я. Гольштейн, Ю. Я. Фиалков, Ю. В. Шанин). На байдарке (1980) | Фелікс Квадрігін (Г. Ю. Аронов, М. Я. Гольдштейн, Ю. Я. Фiалков, Ю. В. Шанiн). На байдарці за снагою (1980)]"
"144"	"rus"	" Если вы"	"доверитесь"	" только рассказам очевидцев то сами сможете продолжить список поразительных расхождений суровой действительности с самыми розовыми воспоминаниями о ней"	"[Феликс Квадригин (Г. Е. Аронов, М. Я. Гольштейн, Ю. Я. Фиалков, Ю. В. Шанин). На байдарке (1980) | Фелікс Квадрігін (Г. Ю. Аронов, М. Я. Гольдштейн, Ю. Я. Фiалков, Ю. В. Шанiн). На байдарці за снагою (1980)]"
"145"	"ukr"	" Якщо ви довiритесь тiльки розповiдям очевидцiв то самi зможете продовжити список разючих розходжень суворої дiйсностi з рожевими спогадами про неї"	""	""	"[Феликс Квадригин (Г. Е. Аронов, М. Я. Гольштейн, Ю. Я. Фиалков, Ю. В. Шанин). На байдарке (1980) | Фелікс Квадрігін (Г. Ю. Аронов, М. Я. Гольдштейн, Ю. Я. Фiалков, Ю. В. Шанiн). На байдарці за снагою (1980)]"
"146"	"rus"	" Но не"	"дожидаясь"	" ответа одним прыжком он подскочил к волшебному циферблату уцепился за тяжелую стрелку и налегая всем телом крутанул ее назад"	"[Лидия Обухова. Улыбка птеродактиля (1979) | Л. О. Обухова. Посмішка птеродактіля (Nick, 2009)]"
"147"	"ukr"	" Але не чекаючи відповіді одним стрибком він підскочив до чарівного циферблата учепився за важку стрілку й налягаючи всім тілом крутонув її назад"	""	""	"[Лидия Обухова. Улыбка птеродактиля (1979) | Л. О. Обухова. Посмішка птеродактіля (Nick, 2009)]"
"148"	"rus"	" Это"	"добавляет"	" к лаврам альсан альсаныча вероятно А А Петрова Агатова бывшего жителя 19 й еще кое-что"	"[Василь Стус. Письмо Ирине Корсуньской (1979) | Василь Стус. Лист до Ірини Корсунської (Осип Зінкевич і Микола Француженко, 1987)]"
"149"	"ukr"	" Це добавляє до лаврів Альсан Альсанича [правдоподібно А А Петрова Аґатова] колишнього мешканця 19 ї ще дещо"	""	""	"[Василь Стус. Письмо Ирине Корсуньской (1979) | Василь Стус. Лист до Ірини Корсунської (Осип Зінкевич і Микола Француженко, 1987)]"
"150"	"rus"	" Река шуршала камышами бурлила на перекатах и Ежик чувствовал что совсем промок и скоро утонет Вдруг кто-то"	"дотронулся"	" до его задней лапы Извините беззвучно сказал кто-то кто вы и как сюда попали"	"[Сергей Козлов. Ёжик в тумане (1975) | С. Г. Козлов. Їжачок у тумані (І. Андрусяк, Наталя Рогаля, 2007)]"
"151"	"ukr"	" Ріка шаруділа очеретами вирувала на перекатах і Їжачок відчував що зовсім змок і скоро потоне Раптом хтось торкнувся його задньої лапи Перепрошую безгучно сказав хтось хто ви і як сюди потрапили"	""	""	"[Сергей Козлов. Ёжик в тумане (1975) | С. Г. Козлов. Їжачок у тумані (І. Андрусяк, Наталя Рогаля, 2007)]"
"152"	"rus"	" Не для баловства для жизни"	"добываем"	" пропитание тяжким и опасным трудом"	"[Юрий Никитин. Савелий и динокан (1975) | Ю. Нікітін. Савелій і динокан (1995-2010)]"
"153"	"ukr"	" Не для пустощів для прожиття добуваємо харчі тяжкою і небезпечною працею"	""	""	"[Юрий Никитин. Савелий и динокан (1975) | Ю. Нікітін. Савелій і динокан (1995-2010)]"
"154"	"rus"	" Мария рявкнул Савелий Со двора"	"донеслось"	" сердитое Чего тебе"	"[Юрий Никитин. Савелий и динокан (1975) | Ю. Нікітін. Савелій і динокан (1995-2010)]"
"155"	"ukr"	" Маріє гарикнув Савелій З двору долинуло сердите Чого тобі"	""	""	"[Юрий Никитин. Савелий и динокан (1975) | Ю. Нікітін. Савелій і динокан (1995-2010)]"
"156"	"rus"	" Господи сказал Савелий жалостливо до чего скотину"	"довели"	""	"[Юрий Никитин. Савелий и динокан (1975) | Ю. Нікітін. Савелій і динокан (1995-2010)]"
"157"	"ukr"	" Лишенько мовив Савелій скрушно до чого худобу довели"	""	""	"[Юрий Никитин. Савелий и динокан (1975) | Ю. Нікітін. Савелій і динокан (1995-2010)]"
"158"	"rus"	" Динокан стоял перед ним и смотрел с ожиданием Савелий"	"достал"	" куриную лапку осторожно протянул зверю Динокан жадно втянул незнакомый запах ноздри затрепетали"	"[Юрий Никитин. Савелий и динокан (1975) | Ю. Нікітін. Савелій і динокан (1995-2010)]"
"159"	"ukr"	" Динокан стояв перед ним і очікувально дивився у вічі Савелій дістав курячу лапу простягнув звірюці Динокан жадібно втягнув спокусливий запах його ніздрі затріпотіли"	""	""	"[Юрий Никитин. Савелий и динокан (1975) | Ю. Нікітін. Савелій і динокан (1995-2010)]"
"160"	"rus"	" Но даже в этом состоянии он мог бы"	"довести"	" геликоптер до корабля"	"[Юрий Никитин. Грозная планета (1973) | Ю. Нікітін. Грізна планета (Віталій Геник, 1995-2010)]"
"161"	"ukr"	" Але навіть в цьому стані він міг би довести гелікоптер до корабля"	""	""	"[Юрий Никитин. Грозная планета (1973) | Ю. Нікітін. Грізна планета (Віталій Геник, 1995-2010)]"
"162"	"rus"	" Очевидно уровень наносов в старом русле"	"достиг"	" критической точки русло засорилось и вода только что начала искать новый более удобный путь"	"[Юрий Никитин. Грозная планета (1973) | Ю. Нікітін. Грізна планета (Віталій Геник, 1995-2010)]"
"163"	"ukr"	" Очевидно рівень наносів в старому руслі досяг критичної межі русло засмітилося і вода щойно почала шукати новий зручніший шлях"	""	""	"[Юрий Никитин. Грозная планета (1973) | Ю. Нікітін. Грізна планета (Віталій Геник, 1995-2010)]"
"164"	"rus"	" Женька не"	"дошел"	" до геликоптера всего несколько шагов"	"[Юрий Никитин. Грозная планета (1973) | Ю. Нікітін. Грізна планета (Віталій Геник, 1995-2010)]"
"165"	"ukr"	" Женька не дійшов до гелікоптера всього декілька кроків"	""	""	"[Юрий Никитин. Грозная планета (1973) | Ю. Нікітін. Грізна планета (Віталій Геник, 1995-2010)]"
"166"	"rus"	" Макивчук"	"достал"	" из шкафа три тонкостенных фужера из прозрачного стекла бережно разлил паленку"	"[Юрий Никитин. Грозная планета (1973) | Ю. Нікітін. Грізна планета (Віталій Геник, 1995-2010)]"
"167"	"ukr"	" Маківчук дістав з шафи три тонкостінні фужери з прозорого скла дбайливо розлив паленку"	""	""	"[Юрий Никитин. Грозная планета (1973) | Ю. Нікітін. Грізна планета (Віталій Геник, 1995-2010)]"
"168"	"rus"	" Над головой нависали тучи казалось до них можно"	"дотянуться"	" рукой"	"[Юрий Никитин. Муравьи (1973) | Ю. Нікітін. Мурахи (Віталій Геник, 1995-2010)]"
"169"	"ukr"	" Над головою нависали хмари здавалося до них можна дотягнутися рукою"	""	""	"[Юрий Никитин. Муравьи (1973) | Ю. Нікітін. Мурахи (Віталій Геник, 1995-2010)]"
"170"	"rus"	" Но только не всякий муравей"	"доносит"	" добычу благополучно"	"[Юрий Никитин. Муравьи (1973) | Ю. Нікітін. Мурахи (Віталій Геник, 1995-2010)]"
"171"	"ukr"	" От тільки не кожна мураха доносить здобич щасливо"	""	""	"[Юрий Никитин. Муравьи (1973) | Ю. Нікітін. Мурахи (Віталій Геник, 1995-2010)]"
"172"	"rus"	" Оба вели вглубь муравейника откуда"	"доносился"	" приглушенный шорох множества ног"	"[Юрий Никитин. Муравьи (1973) | Ю. Нікітін. Мурахи (Віталій Геник, 1995-2010)]"
"173"	"ukr"	" Обидва вели углиб мурашника звідки долинав приглушений шерех безлічі ніг"	""	""	"[Юрий Никитин. Муравьи (1973) | Ю. Нікітін. Мурахи (Віталій Геник, 1995-2010)]"
"174"	"rus"	" Он"	"достал"	" одно обнаружил трещинку бросил обратно и взял целое"	"[Юрий Никитин. Муравьи (1973) | Ю. Нікітін. Мурахи (Віталій Геник, 1995-2010)]"
"175"	"ukr"	" Він дістав одне виявив тріщину кинув назад і узяв ціле"	""	""	"[Юрий Никитин. Муравьи (1973) | Ю. Нікітін. Мурахи (Віталій Геник, 1995-2010)]"
"176"	"rus"	" У него было изумленное и радостное лицо Элина"	"допей"	" все Амброзия напиток богов"	"[Юрий Никитин. Муравьи (1973) | Ю. Нікітін. Мурахи (Віталій Геник, 1995-2010)]"
"177"	"ukr"	" У нього було здивоване і радісне обличчя Еліно допий усе Амброзія напій богів"	""	""	"[Юрий Никитин. Муравьи (1973) | Ю. Нікітін. Мурахи (Віталій Геник, 1995-2010)]"
"178"	"rus"	" Как на баразе право слово Затем вы"	"доили"	" еще что-то страшное Неужели и в самом деле пробовали ту жидкость"	"[Юрий Никитин. Муравьи (1973) | Ю. Нікітін. Мурахи (Віталій Геник, 1995-2010)]"
"179"	"ukr"	" Як на базарі слово честі Потім ви доїли ще щось страшне Невже і справді куштували ту рідину"	""	""	"[Юрий Никитин. Муравьи (1973) | Ю. Нікітін. Мурахи (Віталій Геник, 1995-2010)]"
"180"	"rus"	" Ракета зонд"	"донесла"	" о наличии разумных существ на четвертой планете Телекана"	"[Юрий Никитин. След человека (1973) | Ю. Нікітін. Слід людини (Віталій Геник, 1995-2010)]"
"181"	"ukr"	" Ракета зонд повідомила про наявність розумних істот на четвертій планеті Телекана"	""	""	"[Юрий Никитин. След человека (1973) | Ю. Нікітін. Слід людини (Віталій Геник, 1995-2010)]"
"182"	"rus"	" И медленно до сознания"	"доходила"	" простая и страшная истина несовместимость"	"[Юрий Никитин. След человека (1973) | Ю. Нікітін. Слід людини (Віталій Геник, 1995-2010)]"
"183"	"ukr"	" І поволі до свідомості доходила проста і страшна істина несумісність"	""	""	"[Юрий Никитин. След человека (1973) | Ю. Нікітін. Слід людини (Віталій Геник, 1995-2010)]"
"184"	"rus"	" Представляю сколько смельчаков должно погибнуть пока"	"достанут"	" хоть один цветок прошептал Женька"	"[Юрий Никитин. След человека (1973) | Ю. Нікітін. Слід людини (Віталій Геник, 1995-2010)]"
"185"	"ukr"	" Уявляю скільки сміливців мусить загинути поки добудуть хоч одну квітку прошепотів Женька"	""	""	"[Юрий Никитин. След человека (1973) | Ю. Нікітін. Слід людини (Віталій Геник, 1995-2010)]"
"186"	"rus"	" Оставь нас послышался в наушниках тоскливый голос Женьки Ты еще успеешь"	"добежать"	" до ракеты Я тебя прикрою огнем"	"[Юрий Никитин. Слишком просто (1973) | Ю. Нікітін. Надто просто (Віталій Геник, 1995-2010)]"
"187"	"ukr"	" Покинь нас почувся в навушниках тужний голос Женьки Ти ще встигнеш добігти до ракети Я тебе прикрию вогнем"	""	""	"[Юрий Никитин. Слишком просто (1973) | Ю. Нікітін. Надто просто (Віталій Геник, 1995-2010)]"
"188"	"rus"	" В фокусе температура"	"достигает"	" двух тысяч градусов"	"[Юрий Никитин. Слишком просто (1973) | Ю. Нікітін. Надто просто (Віталій Геник, 1995-2010)]"
"189"	"ukr"	" У фокусі температура досягає двох тисяч градусів"	""	""	"[Юрий Никитин. Слишком просто (1973) | Ю. Нікітін. Надто просто (Віталій Геник, 1995-2010)]"
"190"	"rus"	" Женька решил что пришло время и ему"	"дополнить"	" рассказ о столкновении и бегстве"	"[Юрий Никитин. Слишком просто (1973) | Ю. Нікітін. Надто просто (Віталій Геник, 1995-2010)]"
"191"	"ukr"	" Женька вирішив що прийшов час і йому доповнити розповідь про сутичку і втечу"	""	""	"[Юрий Никитин. Слишком просто (1973) | Ю. Нікітін. Надто просто (Віталій Геник, 1995-2010)]"
"192"	"rus"	" Ответь нам сказал Макивчук и чуть помедлив"	"добавил"	""	"[Юрий Никитин. Слишком просто (1973) | Ю. Нікітін. Надто просто (Віталій Геник, 1995-2010)]"
"193"	"ukr"	" Дай нам відповідь сказав Маківчук і трохи зачекавши додав"	""	""	"[Юрий Никитин. Слишком просто (1973) | Ю. Нікітін. Надто просто (Віталій Геник, 1995-2010)]"
"194"	"rus"	" Не знаю сказал Макивчук четко но знать хотел бы До Женьки наконец"	"дошло"	" Не человек сказал он с тихим ужасом"	"[Юрий Никитин. Слишком просто (1973) | Ю. Нікітін. Надто просто (Віталій Геник, 1995-2010)]"
"195"	"ukr"	" Не знаю сказав Маківчук чітко але знати хотів би До Женьки нарешті дійшло Не людина сказав він з тихим жахом"	""	""	"[Юрий Никитин. Слишком просто (1973) | Ю. Нікітін. Надто просто (Віталій Геник, 1995-2010)]"
"196"	"rus"	" И что это за нить если на ней держится так много и почему человечество все еще"	"доверяет"	" этой нити"	"[Юрий Никитин. Слишком просто (1973) | Ю. Нікітін. Надто просто (Віталій Геник, 1995-2010)]"
"197"	"ukr"	" І що це за нитка якщо на ній тримається так багато і чому людство все ще довіряє цій нитці"	""	""	"[Юрий Никитин. Слишком просто (1973) | Ю. Нікітін. Надто просто (Віталій Геник, 1995-2010)]"
"198"	"rus"	" Много мне радости от моих мальчишек рассердилась Евтихия Эй вы Марш"	"домой"	" Или хотите чтобы суп пригорел"	"[Е. Л. Озерецкая. Олимпийские игры (1972) | О. Л. Озерецька. Олімпійські ігри (Наталя Майстренко, 1979)]"
"199"	"ukr"	" Багато мені радості від моїх хлопчаків розгнівалась Євтихія Ей ви Гайда додому Чи хочете щоб суп пригорів"	""	""	"[Е. Л. Озерецкая. Олимпийские игры (1972) | О. Л. Озерецька. Олімпійські ігри (Наталя Майстренко, 1979)]"
"200"	"rus"	" Вам надлежит"	"достигнуть"	" гармонического совершенства души и тела"	"[Е. Л. Озерецкая. Олимпийские игры (1972) | О. Л. Озерецька. Олімпійські ігри (Наталя Майстренко, 1979)]"
"201"	"ukr"	" Ви повинні досягнути гармонійної досконалості душі й тіла"	""	""	"[Е. Л. Озерецкая. Олимпийские игры (1972) | О. Л. Озерецька. Олімпійські ігри (Наталя Майстренко, 1979)]"
"202"	"rus"	" А педотриб тут же"	"добавлял"	" и своей палкой"	"[Е. Л. Озерецкая. Олимпийские игры (1972) | О. Л. Озерецька. Олімпійські ігри (Наталя Майстренко, 1979)]"
"203"	"ukr"	" А педотриб тут таки добавляв ще й своєю палицею"	""	""	"[Е. Л. Озерецкая. Олимпийские игры (1972) | О. Л. Озерецька. Олімпійські ігри (Наталя Майстренко, 1979)]"
"204"	"rus"	" Увидев все великолепие Игр блеск и мощность атлетов он захочет стать таким как они чтобы тоже когда-нибудь"	"добиться"	" звания олимпионика"	"[Е. Л. Озерецкая. Олимпийские игры (1972) | О. Л. Озерецька. Олімпійські ігри (Наталя Майстренко, 1979)]"
"205"	"ukr"	" Побачивши всю чудову красу Ігор майстерність і могутність атлетів він захоче стати таким як вони щоб теж коли-небудь здобути звання олімпіоніка"	""	""	"[Е. Л. Озерецкая. Олимпийские игры (1972) | О. Л. Озерецька. Олімпійські ігри (Наталя Майстренко, 1979)]"
"206"	"rus"	" Но разве он не видит здесь в Афинах каких успехов"	"добиваются"	" его сверстники"	"[Е. Л. Озерецкая. Олимпийские игры (1972) | О. Л. Озерецька. Олімпійські ігри (Наталя Майстренко, 1979)]"
"207"	"ukr"	" А хіба він не бачить тут в Афінах яких успіхів досягають його ровесники"	""	""	"[Е. Л. Озерецкая. Олимпийские игры (1972) | О. Л. Озерецька. Олімпійські ігри (Наталя Майстренко, 1979)]"
"208"	"rus"	" Пусть увидит сам чего"	"достигает"	" человек если он этого захочет"	"[Е. Л. Озерецкая. Олимпийские игры (1972) | О. Л. Озерецька. Олімпійські ігри (Наталя Майстренко, 1979)]"
"209"	"ukr"	" Нехай побачить сам чого може досягти людина якщо вона цього захоче"	""	""	"[Е. Л. Озерецкая. Олимпийские игры (1972) | О. Л. Озерецька. Олімпійські ігри (Наталя Майстренко, 1979)]"
"210"	"rus"	" Повара рабы с бритыми головами спешили на рынок или возвращались"	"домой"	" с корзинами полными рыбой кроликами грудами овощей фруктов и связками пряных трав"	"[Е. Л. Озерецкая. Олимпийские игры (1972) | О. Л. Озерецька. Олімпійські ігри (Наталя Майстренко, 1979)]"
"211"	"ukr"	" Кухарі раби з поголеними головами поспішали на базар або поверталися додому з кошиками наповненими рибою кроликами овочами фруктами і жмутами пряних трав"	""	""	"[Е. Л. Озерецкая. Олимпийские игры (1972) | О. Л. Озерецька. Олімпійські ігри (Наталя Майстренко, 1979)]"
"212"	"rus"	" Нам пора"	"домой"	" иначе мы опоздаем к обеду"	"[Е. Л. Озерецкая. Олимпийские игры (1972) | О. Л. Озерецька. Олімпійські ігри (Наталя Майстренко, 1979)]"
"213"	"ukr"	" Нам час додому інакше ми запізнимося на обід"	""	""	"[Е. Л. Озерецкая. Олимпийские игры (1972) | О. Л. Озерецька. Олімпійські ігри (Наталя Майстренко, 1979)]"
"214"	"rus"	" Правда Геро тихо ответила Эригона ведь ты знаешь что многое не"	"дозволено"	" афинским женщинам"	"[Е. Л. Озерецкая. Олимпийские игры (1972) | О. Л. Озерецька. Олімпійські ігри (Наталя Майстренко, 1979)]"
"215"	"ukr"	" Правда Геро тихо відповіла Еригона адже ти знаєш що багато чого не дозволено афінським жінкам"	""	""	"[Е. Л. Озерецкая. Олимпийские игры (1972) | О. Л. Озерецька. Олімпійські ігри (Наталя Майстренко, 1979)]"
"216"	"rus"	" Так и в путешествии ты погуляешь потом пообедаешь еще погуляешь поужинаешь поспишь а через пять шесть дней уже"	"дойдешь"	" до Олимпии"	"[Е. Л. Озерецкая. Олимпийские игры (1972) | О. Л. Озерецька. Олімпійські ігри (Наталя Майстренко, 1979)]"
"217"	"ukr"	" Отак і в подорожі ти погуляєш потім пообідаєш ще погуляєш повечеряєш поспиш а через п'ять шість днів уже дійдеш до Олімпії"	""	""	"[Е. Л. Озерецкая. Олимпийские игры (1972) | О. Л. Озерецька. Олімпійські ігри (Наталя Майстренко, 1979)]"
"218"	"rus"	" В возрасте четырех месяцев когда Бим уже смог"	"дотянуться"	" на задних лапках он сам вытащил брусочек и попытался его исследовать"	"[Гавриил Троепольский. Белый Бим Черное ухо (1971) | Г. М. Троєпольський. Білий Бім Чорне вухо (Віра Бідова, 1977)]"
"219"	"ukr"	" В чотири місяці Бім уже зміг ставши на задні лапки дотягнутися до стіни Він сам вийняв зубами брусочок і спробував його дослідити"	""	""	"[Гавриил Троепольский. Белый Бим Черное ухо (1971) | Г. М. Троєпольський. Білий Бім Чорне вухо (Віра Бідова, 1977)]"
"220"	"rus"	" Нельзя Нельзя"	"долбил"	" тот нарочито и совал снова и снова книгу к носу но уже не наказывал"	"[Гавриил Троепольский. Белый Бим Черное ухо (1971) | Г. М. Троєпольський. Білий Бім Чорне вухо (Віра Бідова, 1977)]"
"221"	"ukr"	" Не можна Не можна товкмачив той навмисне і тицяв знову й знову книжку до носа та вже не карав"	""	""	"[Гавриил Троепольский. Белый Бим Черное ухо (1971) | Г. М. Троєпольський. Білий Бім Чорне вухо (Віра Бідова, 1977)]"
"222"	"rus"	" Хозяин мог бы по этим анкетам не только"	"дойти"	" до прадеда и пробабки Бима но и знать при желании прадедового прадеда и прабабушкину прабабушку"	"[Гавриил Троепольский. Белый Бим Черное ухо (1971) | Г. М. Троєпольський. Білий Бім Чорне вухо (Віра Бідова, 1977)]"
"223"	"ukr"	" Хазяїн міг би за цими анкетами дійти не тільки до Бімових прадіда й прабаби але й знати при бажанні прадідового прадіда й прабабину прабабу"	""	""	"[Гавриил Троепольский. Белый Бим Черное ухо (1971) | Г. М. Троєпольський. Білий Бім Чорне вухо (Віра Бідова, 1977)]"
"224"	"rus"	" Он перевернул все книги по охоте и собаководству чтобы хоть немного приблизиться к истине и"	"доказать"	" со временем что Бим не виноват"	"[Гавриил Троепольский. Белый Бим Черное ухо (1971) | Г. М. Троєпольський. Білий Бім Чорне вухо (Віра Бідова, 1977)]"
"225"	"ukr"	" Він перегорнув усі книжки з полювання та собаківництва щоб хоч трохи наблизитися до істини й довести згодом що Бім не винен"	""	""	"[Гавриил Троепольский. Белый Бим Черное ухо (1971) | Г. М. Троєпольський. Білий Бім Чорне вухо (Віра Бідова, 1977)]"
"226"	"rus"	" Да и в самом деле этак каждый может происхождение своей собаки"	"довести"	" до собаки писателя а там и самому недалеко до Л Н Толстого"	"[Гавриил Троепольский. Белый Бим Черное ухо (1971) | Г. М. Троєпольський. Білий Бім Чорне вухо (Віра Бідова, 1977)]"
"227"	"ukr"	" Та й справді отак кожен може походження свого собаки довести до собаки письменника а там і самому недалеко до Л М Толстого"	""	""	"[Гавриил Троепольский. Белый Бим Черное ухо (1971) | Г. М. Троєпольський. Білий Бім Чорне вухо (Віра Бідова, 1977)]"
"228"	"rus"	" Тщательно и старательно шел Бим по лугу челноком разыскивая разбросанный сыр и вдруг среди разных запахов трав цветов самой земли и реки ворвалась струя воздуха необычная и волнующая пахло какой-то птицей вовсе не похожей на тех что знал Бим воробьев там разных веселых синиц трясогузок и всякой мелочи"	"догнать"	" какую нечего и пытаться пробовали"	"[Гавриил Троепольский. Белый Бим Черное ухо (1971) | Г. М. Троєпольський. Білий Бім Чорне вухо (Віра Бідова, 1977)]"
"229"	"ukr"	" Пильно й старанно йшов Бім через луг човником вишукуючи розкиданий сир і раптом серед різних пахощів трав квітів самої землі та річки ввірвався струмінь повітря незвичний і хвилюючий пахло якимось птахом зовсім не схожим на тих яких знав Бім горобців там різних веселих синиць трясогузок і всілякої дрібноти яку нізащо не наздоженеш"	""	""	"[Гавриил Троепольский. Белый Бим Черное ухо (1971) | Г. М. Троєпольський. Білий Бім Чорне вухо (Віра Бідова, 1977)]"
"230"	"rus"	" Бим опять ринулся было безрассудно"	"догонять"	" птицу но"	"[Гавриил Троепольский. Белый Бим Черное ухо (1971) | Г. М. Троєпольський. Білий Бім Чорне вухо (Віра Бідова, 1977)]"
"231"	"ukr"	" Бім знову нерозважливо кинувся був наздоганяти птаха але"	""	""	"[Гавриил Троепольский. Белый Бим Черное ухо (1971) | Г. М. Троєпольський. Білий Бім Чорне вухо (Віра Бідова, 1977)]"
"232"	"rus"	" И"	"догонять"	" его оказывается вовсе не надо его только найти поднять на крыло и лечь а остальное сделает друг"	"[Гавриил Троепольский. Белый Бим Черное ухо (1971) | Г. М. Троєпольський. Білий Бім Чорне вухо (Віра Бідова, 1977)]"
"233"	"ukr"	" І наздоганяти його виявляється зовсім не треба його тільки знайти підняти на крило й лягти а решту зробить друг"	""	""	"[Гавриил Троепольский. Белый Бим Черное ухо (1971) | Г. М. Троєпольський. Білий Бім Чорне вухо (Віра Бідова, 1977)]"
"234"	"rus"	" Что до интеллигентности то Бим даже умел так научился сам"	"дошел"	" своим умом царапаться в дверь чтобы открыли"	"[Гавриил Троепольский. Белый Бим Черное ухо (1971) | Г. М. Троєпольський. Білий Бім Чорне вухо (Віра Бідова, 1977)]"
"235"	"ukr"	" Щодо інтелігентності то Бім умів навіть так навчився сам дійшов своїм розумом дряпатися в двері щоб відчинили"	""	""	"[Гавриил Троепольский. Белый Бим Черное ухо (1971) | Г. М. Троєпольський. Білий Бім Чорне вухо (Віра Бідова, 1977)]"
"236"	"rus"	" Бим побегает малость управится как и полагается и спешит"	"домой"	""	"[Гавриил Троепольский. Белый Бим Черное ухо (1971) | Г. М. Троєпольський. Білий Бім Чорне вухо (Віра Бідова, 1977)]"
"237"	"ukr"	" Бім трохи побігає впорається як і належить і поспішає додому"	""	""	"[Гавриил Троепольский. Белый Бим Черное ухо (1971) | Г. М. Троєпольський. Білий Бім Чорне вухо (Віра Бідова, 1977)]"
"238"	"rus"	" А по вечерам он приносил их"	"домой"	" в своём чёрном портфельчике"	"[Борис Заходер, пересказ повести П. Трэверс. Мэри Поппинс (1968) | Б. В. Заходер, переказ повісті П. Треверс. Мері Поппінс (Анатолій Камінчук, 2006)]"
"239"	"ukr"	" А вечорами він приносив їх додому в своему чорному портфелику"	""	""	"[Борис Заходер, пересказ повести П. Трэверс. Мэри Поппинс (1968) | Б. В. Заходер, переказ повісті П. Треверс. Мері Поппінс (Анатолій Камінчук, 2006)]"
"240"	"rus"	" Да было похоже на то что ветер сперва"	"донёс"	" её до калитки подождал пока она откроет а потом принёс её прямо к парадной двери"	"[Борис Заходер, пересказ повести П. Трэверс. Мэри Поппинс (1968) | Б. В. Заходер, переказ повісті П. Треверс. Мері Поппінс (Анатолій Камінчук, 2006)]"
"241"	"ukr"	" Так скидалося на те що вітер спершу доніс її до хвірточки зачекав доки вона відчинить а потім приніс її просто до парадного входу"	""	""	"[Борис Заходер, пересказ повести П. Трэверс. Мэри Поппинс (1968) | Б. В. Заходер, переказ повісті П. Треверс. Мері Поппінс (Анатолій Камінчук, 2006)]"
"242"	"rus"	" И с этими словами она"	"достала"	" из совершенно пустой сумки накрахмаленный белый фартук и надела его"	"[Борис Заходер, пересказ повести П. Трэверс. Мэри Поппинс (1968) | Б. В. Заходер, переказ повісті П. Треверс. Мері Поппінс (Анатолій Камінчук, 2006)]"
